시군구,요일,accident_count
대전광역시 유성구 가정동,목요일,1
대전광역시 유성구 가정동,수요일,3
대전광역시 유성구 가정동,월요일,1
대전광역시 유성구 가정동,일요일,3
대전광역시 유성구 가정동,토요일,4
대전광역시 유성구 가정동,화요일,2
대전광역시 유성구 갑동,금요일,3
대전광역시 유성구 갑동,목요일,3
대전광역시 유성구 갑동,수요일,7
대전광역시 유성구 갑동,월요일,4
대전광역시 유성구 갑동,일요일,2
대전광역시 유성구 갑동,토요일,4
대전광역시 유성구 갑동,화요일,1
대전광역시 유성구 계산동,금요일,4
대전광역시 유성구 계산동,목요일,2
대전광역시 유성구 계산동,수요일,2
대전광역시 유성구 계산동,월요일,7
대전광역시 유성구 계산동,일요일,4
대전광역시 유성구 계산동,토요일,4
대전광역시 유성구 계산동,화요일,3
대전광역시 유성구 관평동,금요일,30
대전광역시 유성구 관평동,목요일,28
대전광역시 유성구 관평동,수요일,31
대전광역시 유성구 관평동,월요일,25
대전광역시 유성구 관평동,일요일,14
대전광역시 유성구 관평동,토요일,25
대전광역시 유성구 관평동,화요일,19
대전광역시 유성구 교촌동,금요일,7
대전광역시 유성구 교촌동,목요일,4
대전광역시 유성구 교촌동,수요일,5
대전광역시 유성구 교촌동,월요일,4
대전광역시 유성구 교촌동,일요일,2
대전광역시 유성구 교촌동,토요일,4
대전광역시 유성구 교촌동,화요일,5
대전광역시 유성구 구룡동,금요일,1
대전광역시 유성구 구룡동,목요일,2
대전광역시 유성구 구룡동,월요일,1
대전광역시 유성구 구룡동,일요일,1
대전광역시 유성구 구성동,금요일,6
대전광역시 유성구 구성동,목요일,5
대전광역시 유성구 구성동,수요일,8
대전광역시 유성구 구성동,월요일,3
대전광역시 유성구 구성동,일요일,4
대전광역시 유성구 구성동,토요일,8
대전광역시 유성구 구성동,화요일,5
대전광역시 유성구 구암동,금요일,44
대전광역시 유성구 구암동,목요일,37
대전광역시 유성구 구암동,수요일,37
대전광역시 유성구 구암동,월요일,36
대전광역시 유성구 구암동,일요일,18
대전광역시 유성구 구암동,토요일,24
대전광역시 유성구 구암동,화요일,21
대전광역시 유성구 궁동,금요일,18
대전광역시 유성구 궁동,목요일,22
대전광역시 유성구 궁동,수요일,24
대전광역시 유성구 궁동,월요일,22
대전광역시 유성구 궁동,일요일,25
대전광역시 유성구 궁동,토요일,30
대전광역시 유성구 궁동,화요일,15
대전광역시 유성구 금고동,토요일,1
대전광역시 유성구 노은동,금요일,26
대전광역시 유성구 노은동,목요일,27
대전광역시 유성구 노은동,수요일,32
대전광역시 유성구 노은동,월요일,22
대전광역시 유성구 노은동,일요일,19
대전광역시 유성구 노은동,토요일,25
대전광역시 유성구 노은동,화요일,30
대전광역시 유성구 대정동,금요일,4
대전광역시 유성구 대정동,목요일,4
대전광역시 유성구 대정동,수요일,3
대전광역시 유성구 대정동,월요일,2
대전광역시 유성구 대정동,일요일,1
대전광역시 유성구 대정동,토요일,5
대전광역시 유성구 대정동,화요일,5
대전광역시 유성구 덕명동,금요일,4
대전광역시 유성구 덕명동,목요일,13
대전광역시 유성구 덕명동,수요일,6
대전광역시 유성구 덕명동,월요일,13
대전광역시 유성구 덕명동,일요일,10
대전광역시 유성구 덕명동,토요일,10
대전광역시 유성구 덕명동,화요일,8
대전광역시 유성구 덕진동,금요일,1
대전광역시 유성구 덕진동,수요일,1
대전광역시 유성구 덕진동,월요일,1
대전광역시 유성구 덕진동,토요일,2
대전광역시 유성구 덕진동,화요일,1
대전광역시 유성구 도룡동,금요일,27
대전광역시 유성구 도룡동,목요일,22
대전광역시 유성구 도룡동,수요일,18
대전광역시 유성구 도룡동,월요일,18
대전광역시 유성구 도룡동,일요일,18
대전광역시 유성구 도룡동,토요일,15
대전광역시 유성구 도룡동,화요일,24
대전광역시 유성구 둔곡동,금요일,1
대전광역시 유성구 둔곡동,목요일,4
대전광역시 유성구 둔곡동,수요일,3
대전광역시 유성구 둔곡동,월요일,3
대전광역시 유성구 둔곡동,토요일,1
대전광역시 유성구 둔곡동,화요일,4
대전광역시 유성구 문지동,금요일,4
대전광역시 유성구 문지동,목요일,6
대전광역시 유성구 문지동,수요일,8
대전광역시 유성구 문지동,월요일,8
대전광역시 유성구 문지동,일요일,1
대전광역시 유성구 문지동,토요일,5
대전광역시 유성구 문지동,화요일,5
대전광역시 유성구 반석동,금요일,17
대전광역시 유성구 반석동,목요일,12
대전광역시 유성구 반석동,수요일,12
대전광역시 유성구 반석동,월요일,11
대전광역시 유성구 반석동,일요일,7
대전광역시 유성구 반석동,토요일,9
대전광역시 유성구 반석동,화요일,11
대전광역시 유성구 방동,금요일,9
대전광역시 유성구 방동,목요일,6
대전광역시 유성구 방동,수요일,9
대전광역시 유성구 방동,월요일,6
대전광역시 유성구 방동,일요일,4
대전광역시 유성구 방동,토요일,13
대전광역시 유성구 방동,화요일,7
대전광역시 유성구 방현동,목요일,3
대전광역시 유성구 방현동,수요일,3
대전광역시 유성구 방현동,월요일,1
대전광역시 유성구 방현동,토요일,1
대전광역시 유성구 방현동,화요일,2
대전광역시 유성구 복용동,금요일,7
대전광역시 유성구 복용동,목요일,7
대전광역시 유성구 복용동,수요일,5
대전광역시 유성구 복용동,월요일,5
대전광역시 유성구 복용동,일요일,3
대전광역시 유성구 복용동,토요일,4
대전광역시 유성구 복용동,화요일,4
대전광역시 유성구 봉명동,금요일,96
대전광역시 유성구 봉명동,목요일,98
대전광역시 유성구 봉명동,수요일,88
대전광역시 유성구 봉명동,월요일,78
대전광역시 유성구 봉명동,일요일,75
대전광역시 유성구 봉명동,토요일,97
대전광역시 유성구 봉명동,화요일,76
대전광역시 유성구 봉산동,금요일,14
대전광역시 유성구 봉산동,목요일,9
대전광역시 유성구 봉산동,수요일,11
대전광역시 유성구 봉산동,월요일,5
대전광역시 유성구 봉산동,일요일,3
대전광역시 유성구 봉산동,토요일,12
대전광역시 유성구 봉산동,화요일,5
대전광역시 유성구 상대동,금요일,14
대전광역시 유성구 상대동,목요일,15
대전광역시 유성구 상대동,수요일,22
대전광역시 유성구 상대동,월요일,12
대전광역시 유성구 상대동,일요일,7
대전광역시 유성구 상대동,토요일,10
대전광역시 유성구 상대동,화요일,9
대전광역시 유성구 세동,목요일,1
대전광역시 유성구 세동,수요일,1
대전광역시 유성구 세동,월요일,1
대전광역시 유성구 송강동,금요일,13
대전광역시 유성구 송강동,목요일,14
대전광역시 유성구 송강동,수요일,12
대전광역시 유성구 송강동,월요일,12
대전광역시 유성구 송강동,일요일,5
대전광역시 유성구 송강동,토요일,17
대전광역시 유성구 송강동,화요일,12
대전광역시 유성구 송정동,금요일,1
대전광역시 유성구 송정동,목요일,1
대전광역시 유성구 송정동,수요일,1
대전광역시 유성구 신동,금요일,2
대전광역시 유성구 신동,목요일,2
대전광역시 유성구 신동,월요일,1
대전광역시 유성구 신봉동,목요일,1
대전광역시 유성구 신성동,금요일,11
대전광역시 유성구 신성동,목요일,4
대전광역시 유성구 신성동,수요일,6
대전광역시 유성구 신성동,월요일,9
대전광역시 유성구 신성동,일요일,2
대전광역시 유성구 신성동,토요일,8
대전광역시 유성구 신성동,화요일,6
대전광역시 유성구 안산동,금요일,3
대전광역시 유성구 안산동,목요일,2
대전광역시 유성구 안산동,수요일,1
대전광역시 유성구 안산동,월요일,4
대전광역시 유성구 안산동,일요일,2
대전광역시 유성구 안산동,토요일,1
대전광역시 유성구 어은동,금요일,5
대전광역시 유성구 어은동,목요일,6
대전광역시 유성구 어은동,수요일,4
대전광역시 유성구 어은동,월요일,5
대전광역시 유성구 어은동,일요일,4
대전광역시 유성구 어은동,토요일,5
대전광역시 유성구 어은동,화요일,7
대전광역시 유성구 외삼동,목요일,5
대전광역시 유성구 외삼동,수요일,4
대전광역시 유성구 외삼동,월요일,1
대전광역시 유성구 외삼동,일요일,1
대전광역시 유성구 외삼동,토요일,2
대전광역시 유성구 외삼동,화요일,5
대전광역시 유성구 용계동,금요일,2
대전광역시 유성구 용계동,목요일,6
대전광역시 유성구 용계동,수요일,6
대전광역시 유성구 용계동,월요일,2
대전광역시 유성구 용계동,일요일,4
대전광역시 유성구 용계동,토요일,8
대전광역시 유성구 용계동,화요일,4
대전광역시 유성구 용산동,금요일,4
대전광역시 유성구 용산동,목요일,4
대전광역시 유성구 용산동,수요일,8
대전광역시 유성구 용산동,월요일,5
대전광역시 유성구 용산동,일요일,3
대전광역시 유성구 용산동,토요일,8
대전광역시 유성구 용산동,화요일,6
대전광역시 유성구 원내동,금요일,23
대전광역시 유성구 원내동,목요일,23
대전광역시 유성구 원내동,수요일,24
대전광역시 유성구 원내동,월요일,26
대전광역시 유성구 원내동,일요일,12
대전광역시 유성구 원내동,토요일,17
대전광역시 유성구 원내동,화요일,13
대전광역시 유성구 원신흥동,금요일,15
